id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
15,1,0,11.95,25,0.14,0,8.4,2.3,0,0
18,0,0,8.22,0,0.0,0,0.0,0.0,0,1
23,1,0,8.91,16,0.0,0,13.7,0.9,0,1
27,0,0,6.87,21,0.0,1,0.0,0.0,0,1
34,0,0,6.39,0,0.0,0,0.0,0.0,0,1
56,1,1,11.94,32,1.38,0,69.4,4.0,0,0
71,0,0,8.96,18,0.0,0,21.3,2.0,0,1
84,0,0,5.48,14,0.0,1,0.0,0.0,0,1
94,0,0,8.54,0,0.0,0,0.0,0.0,0,1
112,0,0,8.33,0,0.0,0,0.0,0.0,0,1
166,1,1,8.44,17,0.0,0,9.9,1.1,0,1
174,1,1,11.93,10,1.28,0,10.6,0.6,0,0
213,0,0,6.64,10,0.0,0,0.0,0.0,0,1
222,0,0,5.53,14,0.0,0,0.0,0.0,0,1
270,0,0,6.97,23,0.28,0,0.0,0.0,0,1
288,1,1,11.93,18,1.8,0,1.0,0.0,0,0
291,1,0,11.93,22,0.01,1,10.6,2.4,0,0
417,0,0,6.45,40,0.0,0,0.0,0.0,0,1
475,0,0,6.81,14,0.0,0,0.0,0.0,0,1
507,1,1,11.93,65,0.21,0,116.8,12.1,0,0
530,0,0,5.95,0,0.0,0,0.0,0.0,0,1
549,1,0,11.93,24,0.0,0,9.3,0.7,0,0
550,0,0,8.53,0,0.0,0,0.0,0.0,0,1
600,0,0,11.93,41,0.0,0,24.1,3.2,0,0
608,0,0,8.57,20,0.0,0,0.0,0.0,0,1
617,0,0,11.93,21,0.0,0,0.0,0.0,0,0
642,0,0,5.21,14,0.0,0,0.0,0.0,0,1
644,0,0,5.93,0,0.0,0,0.0,0.0,0,1
680,0,0,7.02,13,0.0,0,0.0,0.0,0,1
682,1,0,10.93,63,0.0,0,38.1,7.9,0,1
683,0,0,6.03,9,0.0,0,0.0,0.0,0,1
696,0,0,9.22,80,0.0,0,235.0,6.0,0,1
730,0,0,5.62,0,0.0,0,0.0,0.0,0,1
734,0,0,6.6,54,0.0,0,0.0,0.0,0,1
774,0,0,11.12,33,0.0,0,11.4,1.6,0,1
790,0,0,11.88,129,0.0,0,125.8,9.2,0,1
831,0,0,5.44,18,0.0,0,0.0,0.0,0,1
848,0,0,5.62,0,0.0,0,0.0,0.0,0,1
861,1,0,11.93,45,1.83,0,70.3,9.7,0,0
905,0,0,5.62,0,0.0,0,0.0,0.0,0,1
921,1,0,6.35,21,0.0,0,0.0,0.0,0,1
928,0,0,6.64,14,0.0,2,0.0,0.0,0,1
933,1,0,5.3,79,0.0,2,0.0,0.0,0,1
945,0,0,5.62,0,0.0,0,0.0,0.0,0,1
977,1,1,11.93,16,1.82,0,19.4,1.9,0,0
999,0,0,5.53,13,0.0,0,0.0,0.0,0,1
1006,1,0,10.26,17,0.0,0,0.0,0.0,0,1
1038,0,0,5.7,0,0.0,0,0.0,0.0,0,1
1048,0,0,7.79,10,0.0,0,0.0,0.0,0,1
1051,1,1,8.13,22,0.0,0,10.2,7.4,0,1
1061,0,0,10.8,0,0.0,0,0.0,0.0,0,1
1075,1,1,11.93,23,1.85,0,17.5,5.9,0,0
1151,0,0,11.93,24,0.0,0,0.0,0.0,0,0
1162,1,0,11.93,33,0.0,0,40.9,2.0,0,0
1169,1,1,11.93,24,0.0,0,0.0,0.0,0,0
1201,0,0,5.7,10,0.0,0,0.0,0.0,0,1
1206,1,0,9.18,20,0.0,0,0.0,0.0,0,1
1226,0,0,9.75,0,0.0,0,0.0,0.0,0,1
1266,1,1,11.93,16,1.56,0,28.3,2.1,0,0
1281,0,0,5.62,0,0.0,0,0.0,0.0,0,1
1296,1,0,6.79,17,0.45,0,0.0,0.0,0,1
1311,0,0,5.1,13,0.0,0,0.0,0.0,0,1
1327,0,0,7.61,13,0.0,0,0.0,0.0,0,1
1413,0,0,11.93,24,0.0,0,0.0,0.0,0,0
1414,0,0,5.28,13,0.0,0,0.0,0.0,0,1
1416,0,0,7.64,39,0.0,0,0.0,0.0,0,1
1455,0,0,6.97,14,0.0,0,0.0,0.0,0,1
1457,1,1,6.92,0,0.0,0,0.0,0.0,0,1
1492,1,1,11.93,20,1.8,1,62.6,5.2,0,0
1517,1,0,11.93,37,0.44,0,26.5,2.2,0,0
1522,1,1,11.93,10,1.21,0,10.1,0.3,0,0
1568,0,0,5.62,0,0.0,0,0.0,0.0,0,1
1662,1,1,11.93,21,0.21,0,48.2,2.9,0,0
1664,0,0,9.21,24,0.0,0,0.0,0.0,0,1
1684,0,0,5.72,0,0.0,0,0.0,0.0,0,1
1693,0,0,5.62,0,0.0,0,0.0,0.0,0,1
1694,0,0,6.12,14,0.0,0,0.0,0.0,0,1
1709,0,0,11.93,56,0.0,6,117.3,15.1,0,0
1717,1,0,10.08,20,0.0,0,0.0,0.0,0,1
1733,0,0,6.81,12,0.0,0,0.0,0.0,0,1
1744,1,1,8.19,14,0.0,4,11.5,2.0,0,1
1746,0,0,8.04,17,0.0,0,0.0,0.0,0,1
1778,0,0,6.23,14,0.0,0,0.0,0.0,0,1
1783,0,0,11.93,69,0.52,1,584.6,21.3,0,0
1793,0,0,11.93,33,0.0,2,54.7,3.1,0,0
1805,0,0,11.93,24,0.0,0,0.0,0.0,0,0
1810,1,1,11.93,40,1.1,0,446.2,8.9,0,0
1844,1,1,5.99,24,0.0,0,0.0,0.0,0,1
1878,1,0,11.93,24,0.0,0,2.9,0.3,0,0
1893,1,1,8.38,46,0.0,0,10.8,0.9,0,1
1901,0,0,8.25,50,0.0,1,95.1,7.0,0,1
1915,1,0,11.09,15,0.0,0,0.0,0.0,0,1
1917,1,1,11.93,10,1.2,0,26.7,2.6,0,0
1934,0,0,7.29,14,0.0,1,10.2,0.8,0,1
1947,0,0,5.34,53,0.0,0,0.0,0.0,0,1
1950,1,1,11.93,15,1.66,0,2.8,0.2,0,0
1965,0,0,8.72,40,0.0,0,161.6,17.0,0,1
1966,0,0,5.52,13,0.0,0,0.0,0.0,0,1
1975,1,0,11.93,30,0.97,0,168.6,15.6,0,0
1977,1,0,7.81,24,0.0,1,12.2,1.0,0,1
2005,1,1,12.8,0,0.0,0,0.0,0.0,0,1
2008,0,0,11.93,56,0.0,0,1140.3,65.4,0,0
2017,1,1,6.29,14,0.0,0,0.0,0.0,0,1
2047,0,0,8.75,21,0.0,0,13.7,1.7,0,1
2097,1,1,5.62,0,0.0,0,0.0,0.0,0,1
2110,0,0,5.62,0,0.0,0,0.0,0.0,0,1
2116,0,0,6.42,0,0.0,0,0.0,0.0,0,1
2122,0,0,6.35,22,0.0,2,0.0,0.0,0,1
2135,0,0,6.24,11,0.0,0,0.0,0.0,0,1
2142,0,0,5.14,14,0.0,0,0.0,0.0,0,1
2202,0,0,7.22,14,0.0,0,0.0,0.0,0,1
2203,0,0,9.38,20,0.0,1,2.0,0.2,0,1
2238,0,0,7.82,8,0.0,0,0.0,0.0,0,1
2248,1,0,11.93,25,0.4,0,0.0,0.0,0,0
2252,1,0,9.59,25,0.0,10,77.5,4.8,0,1
2290,1,0,8.27,22,0.0,5,96.1,5.7,0,1
2334,1,0,10.55,22,0.0,0,5.0,0.4,0,1
2371,0,0,5.64,14,0.0,0,0.0,0.0,0,1
2416,1,0,8.36,0,0.0,0,0.0,0.0,0,1
